Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,ASIA (EX. NEAR EAST)         ,31056997,647500,48.00,0.00,23.06,163.07,700,36.00,3.20,12.13,0.22,87.65,1.00,46.60,20.34,0.38,0.24,0.38
Albania,EASTERN EUROPE                     ,3581655,28748,124.60,1.26,-4.93,21.52,4500,86.50,71.20,21.09,4.42,74.49,3.00,15.11,5.22,0.23,0.19,0.58
Algeria,NORTHERN AFRICA                    ,32930091,2381740,13.80,0.04,-0.39,31.00,6000,70.00,78.10,3.22,0.25,96.53,1.00,17.14,4.61,0.10,0.60,0.30
American Samoa,OCEANIA                            ,57794,199,290.40,58.29,-20.71,9.27,8000,97.00,259.50,10.00,15.00,75.00,2.00,22.46,3.27,,,
Andorra,WESTERN EUROPE                     ,71201,468,152.10,0.00,6.60,4.05,19000,100.00,497.20,2.22,0.00,97.78,3.00,8.71,6.25,,,
Angola,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.70,0.13,0.00,191.19,1900,42.00,7.80,2.41,0.24,97.35,,45.11,24.20,0.10,0.66,0.25
Anguilla,LATIN AMER. & CARIB    ,13477,102,132.10,59.80,10.76,21.03,8600,95.00,460.00,0.00,0.00,100.00,2.00,14.17,5.34,0.04,0.18,0.78
Antigua and Barbuda,LATIN AMER. & CARIB    ,69108,443,156.00,34.54,-6.15,19.46,11000,89.00,549.90,18.18,4.55,77.27,2.00,16.93,5.37,0.04,0.22,0.74
Argentina,LATIN AMER. & CARIB    ,39921833,2766890,14.40,0.18,0.61,15.18,11200,97.10,220.40,12.31,0.48,87.21,3.00,16.73,7.55,0.10,0.36,0.55
Armenia,C.W. OF IND. STATES ,2976372,29800,99.90,0.00,-6.47,23.28,3500,98.60,195.70,17.55,2.30,80.15,4.00,12.07,8.23,0.24,0.34,0.42
Aruba,LATIN AMER. & CARIB    ,71891,193,372.50,35.49,0.00,5.89,28000,97.00,516.10,10.53,0.00,89.47,2.00,11.03,6.68,0.00,0.33,0.66
Australia,OCEANIA                            ,20264082,7686850,2.60,0.34,3.98,4.69,29000,100.00,565.50,6.55,0.04,93.41,1.00,12.14,7.51,0.04,0.26,0.70
Austria,WESTERN EUROPE                     ,8192880,83870,97.70,0.00,2.00,4.66,30000,98.00,452.20,16.91,0.86,82.23,3.00,8.74,9.76,0.02,0.30,0.68
Azerbaijan,C.W. OF IND. STATES ,7961619,86600,91.90,0.00,-4.90,81.74,3400,97.00,137.10,19.63,2.71,77.66,1.00,20.74,9.75,0.14,0.46,0.40
Bahamas,LATIN AMER. & CARIB    ,303770,13940,21.80,25.41,-2.20,25.21,16700,95.60,460.60,0.80,0.40,98.80,2.00,17.57,9.05,0.03,0.07,0.90
Bahrain,NEAR EAST                          ,698585,665,1050.50,24.21,1.05,17.27,16900,89.10,281.30,2.82,5.63,91.55,1.00,17.80,4.14,0.01,0.39,0.61
Bangladesh,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.40,0.40,-0.71,62.60,1900,43.10,7.30,62.11,3.07,34.82,2.00,29.80,8.27,0.20,0.20,0.60
Barbados,LATIN AMER. & CARIB    ,279912,431,649.50,22.51,-0.31,12.50,15700,97.40,481.90,37.21,2.33,60.46,2.00,12.71,8.67,0.06,0.16,0.78
Belarus,C.W. OF IND. STATES ,10293011,207600,49.60,0.00,2.54,13.37,6100,99.60,319.10,29.55,0.60,69.85,4.00,11.16,14.02,0.09,0.32,0.59
Belgium,WESTERN EUROPE                     ,10379067,30528,340.00,0.22,1.23,4.68,29100,98.00,462.60,23.28,0.40,76.32,3.00,10.38,10.27,0.01,0.24,0.75
Belize,LATIN AMER. & CARIB    ,287730,22966,12.50,1.68,0.00,25.69,4900,94.10,115.70,2.85,1.71,95.44,2.00,28.84,5.72,0.14,0.15,0.61
Benin,SUB-SAHARAN AFRICA                 ,7862944,112620,69.80,0.11,0.00,85.00,1100,40.90,9.70,18.08,2.40,79.52,2.00,38.85,12.22,0.32,0.14,0.55
Bermuda,NORTHERN AMERICA                   ,65773,53,1241.00,194.34,2.49,8.53,36000,98.00,851.40,20.00,0.00,80.00,2.00,11.40,7.74,0.01,0.10,0.89
Bhutan,ASIA (EX. NEAR EAST)         ,2279723,47000,48.50,0.00,0.00,100.44,1300,42.20,14.30,3.09,0.43,96.48,2.00,33.65,12.70,0.26,0.38,0.36
Bolivia,LATIN AMER. & CARIB    ,8989046,1098580,8.20,0.00,-1.32,53.11,2400,87.20,71.90,2.67,0.19,97.14,1.50,23.30,7.53,0.13,0.35,0.52
Bosnia and Herzegovina,EASTERN EUROPE                     ,4498976,51129,88.00,0.04,0.31,21.05,6100,,215.40,13.60,2.96,83.44,4.00,8.77,8.27,0.14,0.31,0.55
Botswana,SUB-SAHARAN AFRICA                 ,1639833,600370,2.70,0.00,0.00,54.58,9000,79.80,80.50,0.65,0.01,99.34,1.00,23.08,29.50,0.02,0.47,0.51
Brazil,LATIN AMER. & CARIB    ,188078227,8511965,22.10,0.09,-0.03,29.61,7600,86.40,225.30,6.96,0.90,92.15,2.00,16.56,6.17,0.08,0.40,0.52
British Virgin Is.,LATIN AMER. & CARIB    ,23098,153,151.00,52.29,10.01,18.05,16000,97.80,506.50,20.00,6.67,73.33,2.00,14.89,4.42,0.02,0.06,0.92
Brunei,ASIA (EX. NEAR EAST)         ,379444,5770,65.80,2.79,3.59,12.61,18600,93.90,237.20,0.57,0.76,98.67,2.00,18.79,3.45,0.04,0.56,0.40
Bulgaria,EASTERN EUROPE                     ,7385367,110910,66.60,0.32,-4.58,20.55,7600,98.60,336.30,40.02,1.92,58.06,3.00,9.65,14.27,0.09,0.30,0.60
Burkina Faso,SUB-SAHARAN AFRICA                 ,13902972,274200,50.70,0.00,0.00,97.57,1100,26.60,7.00,14.43,0.19,85.38,2.00,45.62,15.60,0.32,0.20,0.48
Burma,ASIA (EX. NEAR EAST)         ,47382633,678500,69.80,0.28,-1.80,67.24,1800,85.30,10.10,15.19,0.97,83.84,2.00,17.91,9.83,0.56,0.08,0.35
Burundi,SUB-SAHARAN AFRICA                 ,8090068,27830,290.70,0.00,-0.06,69.29,600,51.60,3.40,35.05,14.02,50.93,2.00,42.22,13.46,0.46,0.20,0.33
Cambodia,ASIA (EX. NEAR EAST)         ,13881427,181040,76.70,0.24,0.00,71.48,1900,69.40,2.60,20.96,0.61,78.43,2.00,26.90,9.06,0.35,0.30,0.35
Cameroon,SUB-SAHARAN AFRICA                 ,17340702,475440,36.50,0.08,0.00,68.26,1800,79.00,5.70,12.81,2.58,84.61,1.50,33.89,13.47,0.45,0.17,0.38
Canada,NORTHERN AMERICA                   ,33098932,9984670,3.30,2.02,5.96,4.75,29800,97.00,552.20,4.96,0.02,95.02,,10.78,7.80,0.02,0.29,0.68
Cabo Verde,SUB-SAHARAN AFRICA                 ,420979,4033,104.40,23.93,-12.07,47.77,1400,76.60,169.60,9.68,0.50,89.82,3.00,24.87,6.55,0.12,0.22,0.66
Cayman Islands,LATIN AMER. & CARIB    ,45436,262,173.40,61.07,18.75,8.19,35000,98.00,836.30,3.85,0.00,96.15,2.00,12.74,4.89,0.01,0.03,0.95
Central African Rep.,SUB-SAHARAN AFRICA                 ,4303356,622984,6.90,0.00,0.00,91.00,1100,51.00,2.30,3.10,0.14,96.76,2.00,33.91,18.65,0.55,0.20,0.25
Chad,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.70,0.00,-0.11,93.82,1200,47.50,1.30,2.86,0.02,97.12,2.00,45.73,16.38,0.34,0.26,0.41
Chile,LATIN AMER. & CARIB    ,16134219,756950,21.30,0.85,0.00,8.80,9900,96.20,213.00,2.65,0.42,96.93,3.00,15.23,5.81,0.06,0.49,0.45
China,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.90,0.15,-0.40,24.18,5000,90.90,266.70,15.40,1.25,83.35,1.50,13.25,6.97,0.13,0.47,0.40
Colombia,LATIN AMER. & CARIB    ,43593035,1138910,38.30,0.28,-0.31,20.97,6300,92.50,176.20,2.42,1.67,95.91,2.00,20.48,5.58,0.13,0.34,0.53
Comoros,SUB-SAHARAN AFRICA                 ,690948,2170,318.40,15.67,0.00,74.93,700,56.50,24.50,35.87,23.32,40.81,2.00,36.93,8.20,0.40,0.04,0.56
Congo,SUB-SAHARAN AFRICA                 ,62660551,2345410,26.70,0.00,0.00,94.69,700,65.50,0.20,2.96,0.52,96.52,2.00,43.69,13.27,0.55,0.11,0.34
Dem. Rep. Congo,SUB-SAHARAN AFRICA                 ,3702314,342000,10.80,0.05,-0.17,93.86,700,83.80,3.70,0.51,0.13,99.36,2.00,42.57,12.93,0.06,0.57,0.37
Cook Islands,OCEANIA                            ,21388,240,89.10,50.00,,,5000,95.00,289.90,17.39,13.04,69.57,2.00,21.00,,0.15,0.10,0.75
Costa Rica,LATIN AMER. & CARIB    ,4075261,51100,79.80,2.52,0.51,9.95,9100,96.00,340.70,4.41,5.88,89.71,2.00,18.32,4.36,0.09,0.30,0.61
Côte d'Ivoire,SUB-SAHARAN AFRICA                 ,17654843,322460,54.80,0.16,-0.07,90.83,1400,50.90,14.60,9.75,13.84,76.41,2.00,35.11,14.84,0.28,0.17,0.55
Croatia,EASTERN EUROPE                     ,4494749,56542,79.50,10.32,1.58,6.84,10600,98.50,420.40,26.09,2.27,71.65,,9.61,11.48,0.07,0.31,0.62
Cuba,LATIN AMER. & CARIB    ,11382820,110860,102.70,3.37,-1.58,6.33,2900,97.00,74.70,33.05,7.60,59.35,2.00,11.89,7.22,0.06,0.26,0.68
Cyprus,NEAR EAST                          ,784301,9250,84.80,7.01,0.43,7.18,19200,97.60,,7.79,4.44,87.77,3.00,12.56,7.68,0.04,0.20,0.77
Czechia,EASTERN EUROPE                     ,10235455,78866,129.80,0.00,0.97,3.93,15700,99.90,314.30,39.80,3.05,57.15,3.00,9.02,10.59,0.03,0.39,0.57
Denmark,WESTERN EUROPE                     ,5450661,43094,126.50,16.97,2.48,4.56,31100,100.00,614.60,54.02,0.19,45.79,3.00,11.13,10.36,0.02,0.25,0.74
Djibouti,SUB-SAHARAN AFRICA                 ,486530,23000,21.20,1.37,0.00,104.13,1300,67.90,22.80,0.04,0.00,99.96,1.00,39.53,19.31,0.18,0.23,0.60
Dominica,LATIN AMER. & CARIB    ,68910,754,91.40,19.63,-13.87,14.15,5400,94.00,304.80,6.67,20.00,73.33,2.00,15.27,6.73,0.18,0.33,0.50
Dominican Rep.,LATIN AMER. & CARIB    ,9183984,48730,188.50,2.64,-3.22,32.38,6000,84.70,97.40,22.65,10.33,67.02,2.00,23.22,5.73,0.11,0.31,0.58
Timor-Leste,ASIA (EX. NEAR EAST)         ,1062777,15007,70.80,4.70,0.00,47.41,500,58.60,,4.71,0.67,94.62,2.00,26.99,6.24,0.09,0.23,0.68
Ecuador,LATIN AMER. & CARIB    ,13547510,283560,47.80,0.79,-8.58,23.66,3300,92.50,125.60,5.85,4.93,89.22,2.00,22.29,4.23,0.07,0.31,0.62
Egypt,NORTHERN AFRICA                    ,78887007,1001450,78.80,0.24,-0.22,32.59,4000,57.70,131.80,2.87,0.48,96.65,1.00,22.94,5.23,0.15,0.36,0.49
El Salvador,LATIN AMER. & CARIB    ,6822378,21040,324.30,1.46,-3.74,25.10,4800,80.20,142.40,31.85,12.07,56.08,2.00,26.61,5.78,0.10,0.30,0.60
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,540109,28051,19.30,1.06,0.00,85.13,2700,85.70,18.50,4.63,3.57,91.80,2.00,35.59,15.06,0.03,0.91,0.06
Eritrea,SUB-SAHARAN AFRICA                 ,4786994,121320,39.50,1.84,0.00,74.87,700,58.60,7.90,4.95,0.03,95.02,1.50,34.33,9.60,0.10,0.25,0.64
Estonia,BALTICS                            ,1324333,45226,29.30,8.39,-3.16,7.87,12300,99.80,333.80,16.04,0.45,83.51,3.00,10.04,13.25,0.04,0.29,0.67
Ethiopia,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.30,0.00,0.00,95.32,700,42.70,8.20,10.71,0.75,88.54,2.00,37.98,14.86,0.48,0.10,0.43
Faroe Islands,WESTERN EUROPE                     ,47246,1399,33.80,79.84,1.41,6.24,22000,,503.80,2.14,0.00,97.86,,14.05,8.70,0.27,0.11,0.62
Fiji,OCEANIA                            ,905949,18270,49.60,6.18,-3.14,12.62,5800,93.70,112.60,10.95,4.65,84.40,2.00,22.55,5.65,0.09,0.14,0.78
Finland,WESTERN EUROPE                     ,5231372,338145,15.50,0.37,0.95,3.57,27400,100.00,405.30,7.19,0.03,92.78,3.00,10.45,9.86,0.03,0.30,0.68
France,WESTERN EUROPE                     ,60876136,547030,111.30,0.63,0.66,4.26,27600,99.00,586.40,33.53,2.07,64.40,4.00,11.99,9.14,0.02,0.21,0.76
French Guiana,LATIN AMER. & CARIB    ,199509,91000,2.20,0.42,6.27,12.07,8300,83.00,255.60,0.14,0.05,99.81,2.00,20.46,4.88,0.07,0.16,0.78
French Polynesia,OCEANIA                            ,274578,4167,65.90,60.60,2.94,8.44,17500,98.00,194.50,0.82,5.46,93.72,2.00,16.68,4.69,0.03,0.19,0.77
Gabon,SUB-SAHARAN AFRICA                 ,1424906,267667,5.30,0.33,0.00,53.64,5500,63.20,27.40,1.26,0.66,98.08,2.00,36.16,12.25,0.06,0.59,0.35
Gambia,SUB-SAHARAN AFRICA                 ,1641564,11300,145.30,0.71,1.57,72.02,1700,40.10,26.80,25.00,0.50,74.50,2.00,39.37,12.25,0.31,0.14,0.55
Gaza Strip,NEAR EAST                          ,1428757,360,3968.80,11.11,1.60,22.93,600,,244.30,28.95,21.05,50.00,3.00,39.45,3.80,0.03,0.28,0.69
Georgia,C.W. OF IND. STATES ,4661473,69700,66.90,0.44,-4.70,18.59,2500,99.00,146.60,11.44,3.86,84.70,3.00,10.41,9.23,0.17,0.28,0.55
Germany,WESTERN EUROPE                     ,82422299,357021,230.90,0.67,2.18,4.16,27600,99.00,667.90,33.85,0.59,65.56,3.00,8.25,10.62,0.01,0.30,0.70
Ghana,SUB-SAHARAN AFRICA                 ,22409572,239460,93.60,0.23,-0.64,51.43,2200,74.80,14.40,16.26,9.67,74.07,2.00,30.52,9.72,0.37,0.25,0.39
Gibraltar,WESTERN EUROPE                     ,27928,7,3989.70,171.43,0.00,5.13,17500,,877.70,0.00,0.00,100.00,,10.74,9.31,,,
Greece,WESTERN EUROPE                     ,10688058,131940,81.00,10.37,2.35,5.53,20000,97.50,589.70,21.10,8.78,70.12,3.00,9.68,10.24,0.05,0.21,0.73
Greenland,NORTHERN AMERICA                   ,56361,2166086,0.00,2.04,-8.37,15.82,20000,,448.90,0.00,0.00,100.00,1.00,15.93,7.84,,,
Grenada,LATIN AMER. & CARIB    ,89703,344,260.80,35.17,-13.92,14.62,5000,98.00,364.50,5.88,29.41,64.71,2.00,22.08,6.88,0.05,0.18,0.77
Guadeloupe,LATIN AMER. & CARIB    ,452776,1780,254.40,17.19,-0.15,8.60,8000,90.00,463.80,11.24,3.55,85.21,2.00,15.05,6.09,0.15,0.17,0.68
Guam,OCEANIA                            ,171019,541,316.10,23.20,0.00,6.94,21000,99.00,492.00,9.09,16.36,74.55,2.00,18.79,4.48,,,
Guatemala,LATIN AMER. & CARIB    ,12293545,108890,112.90,0.37,-1.67,35.93,4100,70.60,92.10,12.54,5.03,82.43,2.00,29.88,5.20,0.23,0.19,0.59
Guernsey,WESTERN EUROPE                     ,65409,78,838.60,64.10,3.84,4.71,20000,,842.40,,,,3.00,8.81,10.01,0.03,0.10,0.87
